Date,Year,Month Number,Month Name,Quarter,Day
2021-06-11,2021,6,June,2021Q2,11
2021-06-14,2021,6,June,2021Q2,14
2021-06-15,2021,6,June,2021Q2,15
2021-06-16,2021,6,June,2021Q2,16
2021-06-17,2021,6,June,2021Q2,17
2021-06-18,2021,6,June,2021Q2,18
2021-06-21,2021,6,June,2021Q2,21
2021-06-22,2021,6,June,2021Q2,22
2021-06-23,2021,6,June,2021Q2,23
2021-06-24,2021,6,June,2021Q2,24
2021-06-25,2021,6,June,2021Q2,25
2021-06-28,2021,6,June,2021Q2,28
2021-06-29,2021,6,June,2021Q2,29
2021-06-30,2021,6,June,2021Q2,30
2021-07-01,2021,7,July,2021Q3,1
2021-07-02,2021,7,July,2021Q3,2
2021-07-06,2021,7,July,2021Q3,6
2021-07-07,2021,7,July,2021Q3,7
2021-07-08,2021,7,July,2021Q3,8
2021-07-09,2021,7,July,2021Q3,9
2021-07-12,2021,7,July,2021Q3,12
2021-07-13,2021,7,July,2021Q3,13
2021-07-14,2021,7,July,2021Q3,14
2021-07-15,2021,7,July,2021Q3,15
2021-07-16,2021,7,July,2021Q3,16
2021-07-19,2021,7,July,2021Q3,19
2021-07-20,2021,7,July,2021Q3,20
2021-07-21,2021,7,July,2021Q3,21
2021-07-22,2021,7,July,2021Q3,22
2021-07-23,2021,7,July,2021Q3,23
2021-07-26,2021,7,July,2021Q3,26
2021-07-27,2021,7,July,2021Q3,27
2021-07-28,2021,7,July,2021Q3,28
2021-07-29,2021,7,July,2021Q3,29
2021-07-30,2021,7,July,2021Q3,30
2021-08-02,2021,8,August,2021Q3,2
2021-08-03,2021,8,August,2021Q3,3
2021-08-04,2021,8,August,2021Q3,4
2021-08-05,2021,8,August,2021Q3,5
2021-08-06,2021,8,August,2021Q3,6
2021-08-09,2021,8,August,2021Q3,9
2021-08-10,2021,8,August,2021Q3,10
2021-08-11,2021,8,August,2021Q3,11
2021-08-12,2021,8,August,2021Q3,12
2021-08-13,2021,8,August,2021Q3,13
2021-08-16,2021,8,August,2021Q3,16
2021-08-17,2021,8,August,2021Q3,17
2021-08-18,2021,8,August,2021Q3,18
2021-08-19,2021,8,August,2021Q3,19
2021-08-20,2021,8,August,2021Q3,20
2021-08-23,2021,8,August,2021Q3,23
2021-08-24,2021,8,August,2021Q3,24
2021-08-25,2021,8,August,2021Q3,25
2021-08-26,2021,8,August,2021Q3,26
2021-08-27,2021,8,August,2021Q3,27
2021-08-30,2021,8,August,2021Q3,30
2021-08-31,2021,8,August,2021Q3,31
2021-09-01,2021,9,September,2021Q3,1
2021-09-02,2021,9,September,2021Q3,2
2021-09-03,2021,9,September,2021Q3,3
2021-09-07,2021,9,September,2021Q3,7
2021-09-08,2021,9,September,2021Q3,8
2021-09-09,2021,9,September,2021Q3,9
2021-09-10,2021,9,September,2021Q3,10
2021-09-13,2021,9,September,2021Q3,13
2021-09-14,2021,9,September,2021Q3,14
2021-09-15,2021,9,September,2021Q3,15
2021-09-16,2021,9,September,2021Q3,16
2021-09-17,2021,9,September,2021Q3,17
2021-09-20,2021,9,September,2021Q3,20
2021-09-21,2021,9,September,2021Q3,21
2021-09-22,2021,9,September,2021Q3,22
